match_id,team_a,team_b,pred_goals_a,pred_goals_b,actual_a,actual_b,pred_la,pred_lb
1,Mexico,South Africa,2,0,2,0,2.592027414497023,0.32498592061140297
2,Korea Republic,Czechia,0,0,2,1,0.7377967925152081,0.8088512926707313
3,Canada,Bosnia and Herzegovina,2,0,1,1,2.540865519901907,0.4216578521864801
4,USA,Paraguay,0,1,4,1,0.8281764921896138,1.235940976148786
8,Qatar,Switzerland,0,3,1,1,0.3752783226727816,2.9344183873179164
7,Brazil,Morocco,2,0,1,1,2.4869525361496305,0.5149931103574169
5,Haiti,Scotland,0,2,0,1,0.47097648431424,2.390528407771656
6,Australia,Türkiye,0,1,2,0,0.5777215575685687,1.7045778337506967
10,Germany,Curaçao,3,0,7,1,3.542585706496449,0.38766709979624236
11,Netherlands,Japan,2,0,2,2,1.9466426978040374,0.7999525154446718
9,Côte d'Ivoire,Ecuador,0,2,1,0,0.5118646687483723,2.59417538573551
12,Sweden,Tunisia,1,0,5,1,1.4715298852607106,0.6654158843735523
14,Spain,Cabo Verde,3,0,0,0,3.079951197775878,0.4765251808424588
16,Belgium,Egypt,3,0,1,1,2.937198600264515,0.503658259188558
13,Saudi Arabia,Uruguay,0,2,1,1,0.41796302984349215,2.6691677025762273
15,IR Iran,New Zealand,2,0,2,2,2.010628669631405,0.5214797391635764
17,France,Senegal,2,0,3,1,1.9699274309480193,0.45548890964453886
18,Iraq,Norway,0,3,1,4,0.40772186914297887,2.947561366764858
19,Argentina,Algeria,3,0,3,0,3.17354167965542,0.48065603690695435
20,Austria,Jordan,2,0,3,1,2.113902224991408,0.4681407378666429
23,Portugal,Congo DR,3,0,1,1,2.9102293194340976,0.4818949853704364
22,England,Croatia,1,0,4,2,1.2422831184196281,0.8118050478095862
21,Ghana,Panama,0,1,1,0,0.6833000730902135,1.8720740704894432
24,Uzbekistan,Colombia,0,2,1,3,0.45924801279679256,2.6093605520095124
25,Czechia,South Africa,2,0,1,1,2.209186748148101,0.6102399934910169
26,Switzerland,Bosnia and Herzegovina,2,0,4,1,2.2015421043308963,0.4881576685772252
27,Canada,Qatar,2,0,6,0,2.2726495045631245,0.4148098300559582
28,Mexico,Korea Republic,1,0,1,0,1.2143789064650685,0.7737180687191102
32,USA,Australia,1,0,2,0,1.2270964687997363,0.8422279000328605
30,Scotland,Morocco,1,0,0,1,1.1219649606555433,0.8954175400129112
29,Brazil,Haiti,3,0,3,0,3.4261423551146497,0.3812079448226929
31,Türkiye,Paraguay,1,1,0,1,0.9195222405395446,0.9416918380094262
35,Netherlands,Sweden,2,0,5,1,2.597647811854819,0.5179198536410184
33,Germany,Côte d'Ivoire,2,0,2,1,2.697493543102942,0.5850836340491185
34,Ecuador,Curaçao,3,0,0,0,2.9480586182120043,0.4182096081762925
36,Tunisia,Japan,0,3,0,4,0.39986311374500255,2.9110483859843277
38,Spain,Saudi Arabia,3,0,4,0,3.358004246273512,0.3544144544855481
39,Belgium,IR Iran,1,0,0,0,1.8604205442913142,0.632457304797914
37,Uruguay,Cabo Verde,2,0,2,2,2.393622968739271,0.4807594131084353
40,New Zealand,Egypt,0,2,1,3,0.7188661083292792,2.101046653996716
43,Argentina,Austria,2,0,2,0,2.3406780027147343,0.4704585154301075
42,France,Iraq,3,0,3,0,3.059938976230492,0.29025225166238805
41,Norway,Senegal,1,0,3,2,1.7823537766297728,0.7336495450831159
44,Jordan,Algeria,0,1,1,2,0.6129235653485996,1.4934069477817993
47,Portugal,Uzbekistan,2,0,5,0,2.6188029442290968,0.3719643689863527
45,England,Ghana,3,0,0,0,3.306874776598203,0.3745310212426947
46,Panama,Croatia,0,2,0,1,0.44299835211206906,2.7796974801398084
48,Colombia,Congo DR,3,0,1,0,2.986382632316001,0.4175767929342248
